question_id,hybrid_SE,token_entropy,seq_len,curv_std_w016,curv_std_full,curv_raw_w016,split
188,0.639032,2.4263673,16.0,1.9394387,1.7898245,1.5816369,train
189,-0.0,2.7627463,15.0,1.8983403,1.7791872,1.5680636,train
190,0.500402,2.6306756,12.0,1.8709463,1.7722228,1.6054434,train
191,2.163956,2.8199122,16.0,1.9021126,1.7706035,1.5660051,train
192,-0.0,2.583384,15.0,1.891878,1.7672538,1.5688839,train
193,1.497866,2.9306297,12.0,1.9088459,1.7826136,1.6525878,test
194,1.643418,2.1907034,13.0,1.9194756,1.8027246,1.5910273,train
195,1.227529,3.1587794,12.0,1.9027771,1.7736474,1.5688739,train
196,-0.0,2.5543075,12.0,1.9284467,1.8007127,1.615129,train
197,1.834372,4.565339,8.0,1.8875685,1.7700217,1.6005048,train
198,1.470808,5.3316016,7.0,1.9022864,1.7729719,1.5971609,test
199,1.643418,2.9386375,9.0,1.8704413,1.7708637,1.5583974,test
200,0.801819,2.56912,13.0,1.9247313,1.8002145,1.6349097,train
201,-0.0,3.70903,12.0,1.9017376,1.7923691,1.5690155,train
202,0.325083,2.8711615,10.0,1.8825799,1.7626497,1.544494,train
203,1.497866,3.4519646,12.0,1.9342146,1.7824708,1.5563005,train
204,1.973001,3.0553405,14.0,1.9047813,1.7872717,1.6006216,test
205,-0.0,3.2361553,10.0,1.9195691,1.7803315,1.5582156,train
206,-0.0,3.8696008,10.0,1.9159946,1.7772912,1.5225452,train
207,2.163956,4.1233153,8.0,1.9165897,1.7787743,1.5786781,train
208,-0.0,3.1355815,10.0,1.9180012,1.7918005,1.6255101,train
209,0.325083,3.1040509,12.0,1.9192213,1.7857367,1.6030608,train
210,-0.0,2.5736322,9.0,1.9079361,1.7737224,1.5683036,train
211,0.325083,2.0639052,17.0,1.9191699,1.7848704,1.6175834,train
212,2.025326,1.4670529,23.0,1.954316,1.7927151,1.5930554,train
213,2.163956,2.9664347,11.0,1.9040583,1.7815602,1.5591993,train
214,-0.0,2.6475427,14.0,1.9199044,1.7742797,1.596984,train
215,0.639032,2.8197277,11.0,1.940228,1.8069298,1.6133329,train
216,0.940448,3.476899,11.0,1.8891333,1.7658312,1.5228504,train
217,-0.0,2.7867851,10.0,1.901522,1.775677,1.582615,test
218,0.325083,2.4500816,12.0,1.9022592,1.7896808,1.5840338,test
219,2.163956,2.2289584,15.0,1.9197952,1.801835,1.5954819,test
220,0.940448,3.0667236,9.0,1.8654871,1.7677776,1.5892366,train
221,1.748067,3.245744,9.0,1.8834009,1.7680858,1.5694462,train
222,0.325083,4.033718,7.0,1.8527184,1.7571799,1.5700326,test
223,0.325083,3.0561182,11.0,1.8959702,1.7761668,1.5865151,train
224,0.639032,3.1189609,10.0,1.9494795,1.7995788,1.5891842,test
225,1.168282,2.2999628,17.0,1.9267392,1.7862575,1.5810508,test
226,-0.0,2.3274536,15.0,1.8880705,1.7526186,1.5741335,train
227,-0.0,2.589974,10.0,1.9177752,1.7912713,1.6013092,train
228,-0.0,3.0446484,9.0,1.9180909,1.7752424,1.5785903,train
229,0.639032,4.003789,9.0,1.8773241,1.7629188,1.5402957,train
230,0.801819,2.600102,9.0,1.9168262,1.7751302,1.5960792,test
231,-0.0,3.610492,11.0,1.928668,1.787133,1.6174046,test
232,0.325083,4.098841,11.0,1.9145838,1.7764803,1.5363655,test
233,0.801819,3.1922674,13.0,1.9210901,1.7826422,1.5765697,train
234,0.325083,2.241378,21.0,1.9641852,1.8100413,1.6124783,train
235,-0.0,3.4403062,7.0,1.8697361,1.7458551,1.5182699,train
236,-0.0,3.5804436,10.0,1.913113,1.7863884,1.5987355,test
237,0.610864,1.985623,19.0,1.944806,1.8203017,1.6165124,test
238,0.500402,2.6630824,13.0,1.9290975,1.7755426,1.603228,test
239,0.639032,3.7321925,10.0,1.892085,1.7671337,1.5164189,train
240,1.973001,2.4749746,11.0,1.8704958,1.7723442,1.578435,train
241,0.325083,2.6287615,9.0,1.8721752,1.7584553,1.5363308,test
242,-0.0,3.1278615,8.0,1.8761584,1.763731,1.5494648,train
243,-0.0,2.412254,15.0,1.9167995,1.782617,1.6324067,test
244,0.673012,3.8467834,10.0,1.9073557,1.7677525,1.5487381,test
245,1.609438,3.6296422,8.0,1.8636318,1.7673153,1.5524406,test
246,0.673012,3.1105604,10.0,1.8949684,1.7877306,1.590128,train
247,-0.0,3.1832566,15.0,1.9169097,1.7915087,1.6301941,train
248,0.940448,2.8033633,10.0,1.9070369,1.7891136,1.5782347,test
249,0.325083,2.032345,16.0,1.900382,1.7866948,1.6262339,train
250,-0.0,2.374306,13.0,1.8806635,1.7793032,1.6021576,test
251,0.325083,2.7644012,12.0,1.9118975,1.7998335,1.5925989,train
252,1.748067,3.043529,14.0,1.9073415,1.7760808,1.5908896,train
253,2.163956,3.1280675,9.0,1.9075837,1.7778056,1.5575699,test
254,2.163956,2.285915,14.0,1.9196049,1.7917068,1.5776696,train
255,1.497866,2.1504214,24.0,1.944633,1.7969548,1.6441196,train
256,0.940448,3.5541165,12.0,1.9369774,1.7934141,1.6037401,train
257,0.940448,2.4672155,9.0,1.8937985,1.775532,1.58895,train
258,0.325083,3.0524569,11.0,1.939591,1.7825766,1.5950332,train
259,0.639032,4.3997545,9.0,1.8990856,1.7747433,1.5456945,test
260,0.943348,3.3679948,7.0,1.9061254,1.775338,1.5410038,test
261,0.639032,3.249026,14.0,1.9295291,1.7906492,1.6339893,train
262,-0.0,4.32307,5.0,1.8662782,1.7480896,1.5279498,train
263,1.504788,3.1190698,17.0,1.9536308,1.8153328,1.6365466,train
264,1.504788,3.350135,10.0,1.9158071,1.7909744,1.5851942,train
265,0.325083,3.3377478,11.0,1.9155239,1.7719724,1.6113988,train
266,-0.0,2.2402925,11.0,1.9249727,1.8011563,1.6177354,train
267,2.302585,3.778705,7.0,1.8957648,1.7738515,1.6219527,train
268,2.163956,2.8485334,17.0,1.9221454,1.7746804,1.5362068,train
269,2.302585,4.1310873,10.0,1.9098206,1.7730602,1.5918288,train
270,2.163956,2.9572701,14.0,1.937397,1.7891544,1.5825863,train
271,0.325083,2.1936703,14.0,1.924162,1.8034651,1.6642326,test
272,0.325083,2.717491,13.0,1.9200412,1.7857417,1.5959798,train
273,0.325083,3.055452,10.0,1.9081774,1.7745304,1.5970473,train
274,0.801819,3.0359416,13.0,1.8980519,1.7810928,1.612987,train
275,0.325083,2.2743194,18.0,1.9204383,1.7846992,1.6077977,train
276,-0.0,3.2563756,9.0,1.8898911,1.7692337,1.5904957,test
277,1.497866,3.26856,14.0,1.8968986,1.764115,1.5618533,train
278,0.325083,2.1967015,27.0,1.9228798,1.7673256,1.6503811,train
279,1.418484,2.8562407,15.0,1.9184355,1.7855053,1.6310492,train
280,-0.0,2.6845407,9.0,1.9064994,1.7773283,1.5993916,train
281,0.325083,2.8239925,11.0,1.9219031,1.7877332,1.5699066,test
282,-0.0,3.332021,10.0,1.891498,1.7815294,1.6007524,train
283,-0.0,3.32052,15.0,1.9051123,1.7791911,1.5956469,train
284,0.639032,3.1741042,11.0,1.9282311,1.7861062,1.6041731,train
285,0.325083,2.2736914,14.0,1.9513694,1.8269855,1.6453949,test
286,1.748067,2.5130608,12.0,1.9119548,1.7871004,1.6512156,train
287,-0.0,2.7469866,12.0,1.9254484,1.7834347,1.6109848,train
288,-0.0,2.9983761,13.0,1.907197,1.7922888,1.552714,test
289,-0.0,3.0223129,15.0,1.9098387,1.7845047,1.5621463,test
290,-0.0,3.6821682,9.0,1.9078032,1.7729179,1.5673491,train
291,2.163956,3.7802536,10.0,1.9410471,1.7966486,1.5769653,train
292,0.325083,3.2041137,12.0,1.947105,1.7889614,1.5835441,train
293,0.639032,3.7417085,11.0,1.9053572,1.7709624,1.5710353,train
294,0.940448,3.0418553,14.0,1.9197469,1.7784332,1.5873257,train
295,0.639032,2.3924987,17.0,1.9250101,1.7812079,1.5693874,train
296,0.639032,2.6587112,18.0,1.9220053,1.7793673,1.5750451,train
297,1.748067,3.2296503,17.0,1.9162735,1.788719,1.6181008,test
298,2.163956,2.0057807,26.0,1.9285182,1.7804854,1.6298279,test
299,1.359237,2.2980795,18.0,1.922367,1.785141,1.5939194,train
300,0.940448,2.42965,12.0,1.9022846,1.7846413,1.6292275,train
301,-0.0,2.8321416,13.0,1.9195075,1.7909505,1.6153272,train
302,0.500402,2.9891121,11.0,1.9260521,1.7895657,1.6274089,test
303,1.220607,2.4020617,12.0,1.8911356,1.7815268,1.6361362,train
304,0.610864,3.045833,9.0,1.8990135,1.7728702,1.5954595,train
305,0.639032,2.9047909,11.0,1.9067079,1.7794254,1.6244627,test
306,1.834372,3.239376,9.0,1.8940433,1.7662643,1.5849086,train
307,1.227529,3.0930445,10.0,1.9159235,1.7847292,1.6207795,test
308,0.639032,2.7071476,14.0,1.9328927,1.7846719,1.5929394,train
309,1.227529,2.301919,16.0,1.965571,1.8054966,1.6270733,test
310,1.0889,2.5571377,12.0,1.9303092,1.799451,1.664653,test
311,1.609438,2.7089171,9.0,1.9190792,1.7862966,1.593761,train
312,-0.0,3.2148373,9.0,1.9085928,1.7858522,1.6120619,test
313,-0.0,3.090074,10.0,1.9103009,1.7767713,1.5790998,train
314,0.325083,2.8923256,16.0,1.9256601,1.7896292,1.5790375,train
315,0.500402,3.2875423,12.0,1.9131445,1.7699835,1.6228973,test
316,1.834372,2.4895234,13.0,1.9355978,1.7924191,1.583582,train
317,1.497866,3.7416382,11.0,1.8980708,1.7731835,1.5504624,train
318,0.325083,2.8259559,14.0,1.9088362,1.7873577,1.6054268,train
319,-0.0,2.9626315,12.0,1.9007944,1.7727247,1.6125584,test
320,-0.0,3.4834716,12.0,1.9056159,1.780054,1.5803534,train
321,1.0889,3.1887467,9.0,1.8959848,1.7671111,1.5529372,test
322,1.748067,2.9874477,12.0,1.9149123,1.7940998,1.6064377,train
323,0.897946,2.9129872,10.0,1.922167,1.7867264,1.5791979,train
324,1.834372,3.169925,10.0,1.9232336,1.7819936,1.5810975,test
325,-0.0,3.1861374,12.0,1.9045469,1.7654105,1.5715472,train
326,1.227529,2.672847,11.0,1.8917478,1.7691793,1.541104,test
327,0.325083,4.033112,7.0,1.8393302,1.737307,1.498649,train
328,0.325083,3.6593251,9.0,1.9045922,1.7831118,1.5881983,test
329,-0.0,2.92637,14.0,1.9424882,1.7906063,1.6063994,train
330,1.359237,3.0487473,10.0,1.8873839,1.767331,1.6170908,train
331,-0.0,4.1166515,9.0,1.887814,1.7532605,1.5326262,train
332,0.325083,3.1267664,11.0,1.9124938,1.7959025,1.6076549,train
333,-0.0,3.4200573,8.0,1.8987981,1.7707615,1.5933563,train
334,-0.0,3.3236568,9.0,1.886007,1.7689425,1.5845798,test
335,-0.0,2.8044803,10.0,1.9234496,1.7840557,1.5751718,train
336,-0.0,3.283956,9.0,1.9031554,1.7692481,1.5868558,test
337,-0.0,3.478734,11.0,1.9481964,1.7844077,1.5767587,train
338,-0.0,3.6660008,9.0,1.8860369,1.7717973,1.5626823,train
339,-0.0,2.5410514,21.0,1.9115688,1.7766696,1.5308756,train
340,-0.0,4.1947966,8.0,1.9001026,1.7861423,1.6081796,test
341,-0.0,3.4212842,10.0,1.9242254,1.7864519,1.6118845,train
342,1.359237,5.2154617,7.0,1.8670799,1.7608966,1.519312,train
343,0.943348,2.1077495,14.0,1.9254085,1.7867447,1.5784231,train
344,0.943348,2.135205,14.0,1.9215751,1.7873956,1.5742936,test
345,0.940448,4.6048174,8.0,1.8810314,1.764511,1.570335,train
346,0.325083,3.8244338,11.0,1.8825873,1.7689706,1.5633625,train
347,1.609438,4.084553,8.0,1.9024845,1.767526,1.5613418,train
348,0.639032,3.4258368,16.0,1.9236339,1.7997369,1.6048287,train
349,0.639032,2.6427057,15.0,1.9121512,1.7905333,1.6452714,train
350,0.500402,2.997834,14.0,1.9093622,1.7746712,1.5824226,train
351,-0.0,2.735326,17.0,1.9200735,1.7881299,1.604153,test
352,-0.0,2.505011,10.0,1.9285078,1.77736,1.5720433,test
353,1.497866,3.4159439,12.0,1.9201183,1.7700154,1.5470749,train
354,0.500402,4.036446,8.0,1.8886795,1.771458,1.5362157,test
355,0.940448,3.0670402,15.0,1.9114205,1.8127031,1.6028762,train
356,1.0889,2.9443138,12.0,1.9232178,1.7855858,1.5857979,train
357,1.609438,2.96712,12.0,1.9250464,1.7875602,1.6244429,train
358,-0.0,3.4300137,12.0,1.8954366,1.7849377,1.5898867,train
359,-0.0,3.913327,12.0,1.9050089,1.783935,1.6230103,train
360,-0.0,3.4140923,9.0,1.8924679,1.7865019,1.5772549,test
361,1.834372,3.20482,12.0,1.9059051,1.7814795,1.6416478,test
362,0.325083,3.6780384,14.0,1.9260712,1.7784417,1.5654494,train
363,0.325083,2.622565,14.0,1.9214524,1.7861135,1.6059769,test
364,0.940448,2.9568074,14.0,1.9066542,1.7850912,1.5734078,train
365,0.325083,3.4247816,12.0,1.898981,1.777008,1.5790601,train
366,1.359237,3.1338637,8.0,1.9115793,1.7799911,1.5629824,train
367,2.025326,3.217815,10.0,1.9048748,1.7844579,1.5822763,train
368,1.227529,3.2413027,9.0,1.9100704,1.7884616,1.5650297,test
369,1.227529,3.314047,11.0,1.9053642,1.7885991,1.556479,train
370,-0.0,3.2072146,13.0,1.917973,1.7936958,1.5878719,train
371,0.940448,3.4812646,11.0,1.9220861,1.7861223,1.5824538,test
372,1.0889,3.1918182,10.0,1.9131733,1.7734538,1.5842127,train
373,1.227529,2.9339182,16.0,1.8868165,1.7815125,1.5541948,train
374,-0.0,4.2285557,9.0,1.9055594,1.7774137,1.5962129,train
375,-0.0,2.9442768,12.0,1.9190383,1.7812215,1.587746,train
376,1.470808,3.327958,11.0,1.9121146,1.7833408,1.5985842,train
377,-0.0,3.432081,11.0,1.9131907,1.7836646,1.5670342,train
378,1.227529,3.127845,12.0,1.9235941,1.8107973,1.5970621,train
